,t0,x0,x1,c,mwebv,mwr_v,z_fit,survey,z_helio,z_cmb,mb,mb_err,x1_err,c_err,cov
SN2004dt,53238.76021070217,0.023472007643657294,-1.9535479370601991,-0.03733573610363243,0.022824935269777816,3.1,0.01969981394877589,csp,0.0197,0.01877781947251167,14.668694543638281,3.2564132774286434e-09,0.08091502613917131,0.02255372251918359,"[[3.25641328e-09 3.39901359e-06 9.40670905e-07]
 [3.39901359e-06 6.54724146e-03 4.77340850e-04]
 [9.40670905e-07 4.77340850e-04 5.08670399e-04]]"
SN2004ef,53264.681859669196,0.0034379561145553624,-1.4172730615494837,0.028390914681231602,0.04722849348904677,3.1,0.031000173281547735,csp,0.031,0.029767710003368197,16.868243542840304,1.3975336092719616e-11,0.02314006167784586,0.01741388613077388,"[[ 1.39753361e-11 -3.75053460e-09  4.79561944e-08]
 [-3.75053460e-09  5.35462454e-04 -7.30318098e-05]
 [ 4.79561944e-08 -7.30318098e-05  3.03243430e-04]]"
SN2004eo,53278.89785223117,0.018017053481758406,-1.257133661129311,-0.07518243086979379,0.09289687254685808,3.1,0.015700071972952673,csp,0.0157,0.014729747946407912,15.243876773686647,4.968601081516481e-10,0.021039333740943748,0.017326969046208878,"[[ 4.96860108e-10 -6.45112572e-08  3.01758365e-07]
 [-6.45112572e-08  4.42653564e-04 -1.12619712e-04]
 [ 3.01758365e-07 -1.12619712e-04  3.00223856e-04]]"
SN2004ey,53305.03582405416,0.023767734551723377,0.08494207969132334,-0.147646793914083,0.11818709721249746,3.1,0.015800020650787804,csp,0.0158,0.014632545934006425,15.042747000503189,1.042755620472303e-09,0.0203252544095646,0.019897020565702427,"[[ 1.04275562e-09 -2.19075774e-07  5.30971188e-07]
 [-2.19075774e-07  4.13115967e-04 -2.06818702e-04]
 [ 5.30971188e-07 -2.06818702e-04  3.95891427e-04]]"
SN2004gc,53327.630594964365,0.00326327628782688,-0.928805857801801,0.13177319492132789,0.17722747045321013,3.1,0.03210023118960026,csp,0.0321,0.03213569218404544,17.470324034104852,2.0595065541125384e-11,0.05005092582225141,0.022294830464743072,"[[ 2.05950655e-11 -8.69860220e-08  8.32761098e-08]
 [-8.69860220e-08  2.50509518e-03 -2.75537783e-04]
 [ 8.32761098e-08 -2.75537783e-04  4.97059465e-04]]"
SN2004gs,53356.54187773527,0.0025723523112134686,-1.9518040524432214,0.10401058728682719,0.026477202576998395,3.1,0.026700017349545156,csp,0.0267,0.0275953516382077,17.100671355841246,9.115241833300341e-12,0.03208299185935364,0.01993734142860848,"[[ 9.11524183e-12 -5.99634874e-09  4.78998880e-08]
 [-5.99634874e-09  1.02931837e-03 -1.34437233e-04]
 [ 4.78998880e-08 -1.34437233e-04  3.97497583e-04]]"
SN2004gu,53362.978334147956,0.001929327337849564,1.5374577527927424,0.0704488018552654,0.022829520827045438,3.1,0.04589946054082646,csp,0.0459,0.0470198635834127,17.404716748155277,4.601288647951901e-12,0.06197842715568835,0.020079727270629354,"[[ 4.60128865e-12 -1.43353991e-08  3.25173837e-08]
 [-1.43353991e-08  3.84132543e-03 -3.58621445e-04]
 [ 3.25173837e-08 -3.58621445e-04  4.03195447e-04]]"
SN2005A,53380.620402544555,0.0009517479632137683,-0.5365838749772134,1.0066170558313885,0.025963983749210877,3.1,0.01909991064532774,csp,0.0191,0.01829905872440829,18.176014968604292,1.7762376282671649e-12,0.03567492324419389,0.025894220292658424,"[[ 1.77623763e-12 -8.77122552e-09  3.07096981e-08]
 [-8.77122552e-09  1.27270015e-03 -2.50194285e-04]
 [ 3.07096981e-08 -2.50194285e-04  6.70510645e-04]]"
SN2005M,53406.76507081938,0.008012784834232057,1.3115046258940943,-0.04949943897754256,0.026828269304116723,3.1,0.021999962576338947,csp,0.022,0.022997034296900143,15.846949657893216,9.302706741211797e-11,0.030304963119609226,0.018096129982058038,"[[ 9.30270674e-11 -2.30670677e-08  1.34671103e-07]
 [-2.30670677e-08  9.18390790e-04 -1.18549465e-04]
 [ 1.34671103e-07 -1.18549465e-04  3.27469920e-04]]"
SN2005W,53412.703518681905,0.038697258836520206,-0.5018028917143336,0.10236536343337306,0.061501320800981016,3.1,0.00889997190673188,csp,0.0089,0.007958338997831937,14.289904117280887,2.844096656797639e-09,0.05986683259609733,0.018866386813046813,"[[2.84409666e-09 2.19353821e-07 8.18972188e-07]
 [2.19353821e-07 3.58403765e-03 7.41216557e-07]
 [8.18972188e-07 7.41216557e-07 3.55940551e-04]]"
